Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20,Amari Bailey,PG,19,CHO,3,0,5.0,0.7,2.3,.286,0.0,1.0,.000,0.7,1.3,.500,.286,0.3,0.7,.500,0.7,0.0,0.7,0.3,0.0,0.0,0.3,0.0,1.7
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Patrick Baldwin Jr.,SF,21,WAS,19,0,7.5,0.9,2.4,.378,0.6,1.4,.423,0.3,1.0,.316,.500,0.4,0.6,.667,0.4,1.7,2.1,0.4,0.1,0.2,0.3,1.1,2.8
22,LaMelo Ball,PG,22,CHO,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9
23,Mo Bamba,C,25,PHI,34,0,10.6,1.5,3.2,.477,0.4,0.9,.414,1.2,2.4,.500,.532,0.5,0.9,.586,1.3,2.3,3.6,0.7,0.4,1.0,0.7,1.4,3.9
24,Paolo Banchero,PF,21,ORL,57,57,34.8,8.1,17.7,.456,1.5,4.2,.364,6.5,13.5,.484,.499,5.0,7.1,.700,1.1,5.7,6.8,5.2,1.0,0.5,3.0,2.0,22.7
25,Desmond Bane,SG,25,MEM,37,37,34.5,8.9,18.8,.474,3.3,8.6,.384,5.6,10.2,.551,.563,3.3,3.8,.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4
26,Dalano Banton,PG,24,TOT,28,1,9.3,1.2,3.1,.395,0.2,0.9,.192,1.0,2.1,.483,.424,1.0,1.4,.744,0.5,1.2,1.6,1.0,0.3,0.1,0.6,0.9,3.6
26,Dalano Banton,PG,24,BOS,24,1,7.1,0.8,2.1,.373,0.1,0.7,.125,0.7,1.5,.486,.392,0.7,0.8,.800,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3
26,Dalano Banton,PG,24,POR,4,0,22.3,3.8,8.8,.429,0.8,2.5,.300,3.0,6.3,.480,.471,3.3,4.8,.684,0.3,2.5,2.8,2.3,0.8,0.0,1.8,1.0,11.5
27,Dominick Barlow,PF,20,SAS,23,1,13.3,1.7,3.7,.476,0.1,0.3,.429,1.6,3.3,.481,.494,1.0,1.5,.647,1.4,2.2,3.7,1.1,0.4,0.5,0.2,1.4,4.6
