"player_id";"player_name";"team_id"
1;"DalanoBanton";1
2;"OshaeBrissett";1
3;"MalcolmBrogdon";1
4;"JaylenBrown";1
5;"JustinChampagnie";1
6;"JDDavison";1
7;"BlakeGriffin";1
8;"SamHauser";1
9;"AlHorford";1
10;"MfionduKabengele";1
11;"LukeKornet";1
12;"JamesNnaji";1
13;"KristapsPorzingis";1
14;"PaytonPritchard";1
15;"JayScrubb";1
16;"JaysonTatum";1
17;"JordanWalsh";1
18;"DerrickWhite";1
19;"RobertWilliams III";1
20;"DariusBazley";2
21;"MikalBridges";2
22;"ArmoniBrooks";2
23;"NicClaxton";2
24;"NoahClowney";2
25;"SpencerDinwiddie";2
26;"DavidDuke Jr.";2
27;"DorianFinney-Smith";2
28;"CameronJohnson";2
29;"RoyceO'Neale";2
30;"Day'RonSharpe";2
31;"BenSimmons";2
32;"DennisSmith Jr.";2
33;"CamThomas";2
34;"LonnieWalker IV";2
35;"DariqWhitehead";2
36;"JalenWilson";2
37;"RJBarrett";3
38;"JalenBrunson";3
39;"DonteDiVincenzo";3
40;"EvanFournier";3
41;"QuentinGrimes";3
42;"JoshHart";3
43;"IsaiahHartenstein";3
44;"DaQuanJeffries";3
45;"TrevorKeels";3
46;"NathanKnight";3
47;"JaylenMartin";3
48;"MilesMcBride";3
49;"ImmanuelQuickley";3
50;"JuliusRandle";3
51;"MitchellRobinson";3
52;"IsaiahRoby";3
53;"JerichoSims";3
54;"JacobToppin";3
55;"DuaneWashington Jr.";3
56;"MoBamba";4
57;"PatrickBeverley";4
58;"RickyCouncil IV";4
59;"DewayneDedmon";4
60;"JoelEmbiid";4
61;"JamesHarden";4
62;"MontrezlHarrell";4
63;"TobiasHarris";4
64;"DanuelHouse Jr.";4
65;"LouisKing";4
66;"FurkanKorkmaz";4
67;"TyreseMaxey";4
68;"MacMcClung";4
69;"De'AnthonyMelton";4
70;"FilipPetrusev";4
71;"PaulReed";4
72;"TerquavionSmith";4
73;"JadenSpringer";4
74;"AzuolasTubelis";4
75;"P.J.Tucker";4
76;"PreciousAchiuwa";5
77;"O.G.Anunoby";5
78;"ScottieBarnes";5
79;"WillBarton";5
80;"ChrisBoucher";5
81;"GradeyDick";5
82;"JeffDowtin Jr.";5
83;"MalachiFlynn";5
84;"RonHarper Jr.";5
85;"ChristianKoloko";5
86;"JalenMcDaniels";5
87;"MarkquisNowell";5
88;"JakobPoeltl";5
89;"OttoPorter Jr.";5
90;"DennisSchroder";5
91;"PascalSiakam";5
92;"GaryTrent Jr.";5
93;"ThaddeusYoung";5
94;"LonzoBall";6
